t,h,r,e,e
s,h,o,r,t
0,1,12
0,1,13
0,1,14
0,2,11
0,2,15
0,16,2
0,10,3
0,17,3
0,18,3
0,9,4
0,19,4
0,4,20
0,8,5
0,21,5
0,5,22
0,6,7
0,6,23
0,24,6
0,25,7
0,26,7
0,8,27
0,8,28
0,9,29
0,9,30
0,10,31
0,10,32
0,33,11
0,34,11
0,35,12
0,12,36
1,2,12
1,2,13
1,2,14
11,1,3
1,3,15
16,1,3
1,10,4
1,4,17
1,18,4
1,5,9
1,19,5
1,20,5
8,1,6
1,21,6
1,6,22
1,23,7
24,1,7
8,1,25
8,1,26
1,27,9
1,28,9
1,10,29
1,10,30
1,11,31
32,1,11
1,12,33
1,34,12
1,37,13
1,13,38
1,37,14
38,1,14
2,3,12
2,3,13
2,3,14
2,11,4
2,4,15
16,2,4
2,10,5
17,2,5
2,18,5
9,2,6
2,19,6
2,20,6
8,2,7
2,21,7
2,22,7
8,2,23
8,24,2
9,2,25
9,2,26
27,2,10
2,10,28
2,11,29
2,11,30
2,12,31
32,2,12
2,35,13
2,36,13
2,35,14
2,36,14
2,37,15
2,38,15
16,2,37
16,2,38
3,4,12
3,4,13
3,4,14
11,3,5
3,5,15
16,3,5
10,3,6
17,3,6
18,3,6
9,3,7
19,3,7
3,20,7
8,3,21
8,3,22
9,3,23
24,9,3
25,10,3
26,10,3
11,27,3
11,3,28
3,12,29
3,12,30
33,3,13
34,3,13
33,3,14
34,3,14
35,3,15
3,36,15
16,35,3
16,3,36
17,3,37
17,3,38
18,3,37
18,3,38
12,4,5
13,4,5
4,5,14
11,4,6
4,6,15
16,4,6
10,4,7
17,4,7
18,4,7
8,9,4
8,19,4
8,4,20
9,4,21
9,4,22
10,4,23
24,10,4
25,11,4
26,11,4
27,4,12
28,4,12
4,13,31
32,4,13
4,14,31
32,4,14
33,4,15
34,4,15
16,33,4
16,34,4
17,35,4
17,4,36
18,35,4
18,4,36
19,4,37
19,4,38
37,4,20
4,20,38
12,5,6
13,5,6
5,6,14
11,5,7
15,5,7
16,5,7
8,10,5
8,17,5
8,18,5
9,19,5
9,20,5
10,21,5
10,5,22
11,5,23
24,11,5
25,12,5
26,12,5
13,29,5
13,5,30
29,5,14
5,14,30
31,5,15
32,5,15
16,5,31
16,32,5
17,5,33
17,34,5
33,18,5
18,34,5
35,19,5
19,36,5
35,20,5
20,5,36
21,37,5
21,5,38
37,5,22
